,Unnamed: 0,hr,,,Name,weight,mlb_g,height_inches,era,round_sort,round,draft_type,rbi,bats,description,sv,height_feet,pick,year,name_last_first,avg,overall,milb_g,Team,league_full,primary_position,team_abbrev,birth_date,so,throws,league_id,l,w,school,trans_date,sb,signed_sw,round_desc,player_id,team_id,DOB,First,Last,,
4455,4455,267,,,George Hendrick,195,1,3,-1,1,1,NR,1111,R,January Amateur Draft,,6,1,1968,"Hendrick, George",0.278,1,N,OAK,American League,OF,OAK,10/18/1949,,R,103,,,"Fremont HS (Los Angeles, CA)",,59,N,Round 1,115754,133,10/18/49,George,Hendrick,,
4458,4458,34,,,Glenn Adams,185,1,0,-1,1,1,NR,225,L,January Amateur Draft,,6,4,1968,"Adams, Glenn",0.28,4,N,HOU,National League,OF,HOU,10/4/1947,,R,104,,,Springfield College,,6,N,Round 1,110050,117,10/04/47,Glenn,Adams,,
4462,4462,9,,,Jim Breazeale,210,1,2,-1,1,1,NR,33,L,January Amateur Draft,,6,8,1968,"Breazeale, Jim",0.223,8,N,ATL,National League,C,ATL,10/3/1949,,R,104,,,Houston,,0,N,Round 1,111411,144,10/03/49,Jim,Breazeale,,
4467,4467,61,,,Mickey Rivers,165,1,10,-1,1,1,NR,499,L,January Amateur Draft,,5,13,1968,"Rivers, Mickey",0.295,13,N,CHW,American League,OF,CWS,10/30/1948,,L,103,,,Miama Dade CC,,267,N,Round 1,121253,145,10/30/48,Mickey,Rivers,,
4475,4475,3,,,Reggie Sanders,205,1,2,-1,2,2,NR,10,R,January Amateur Draft,,6,1,1968,"Sanders, Reggie",0.273,21,N,OAK,American League,OF,OAK,9/9/1949,,R,103,,,Venice HS (CA),,1,N,Round 2,121672,133,09/09/49,Reggie,Sanders,,
4492,4492,117,,,Garry Maddox,184,1,3,-1,2,2,NR,754,R,January Amateur Draft,,6,18,1968,"Maddox, Garry",0.285,38,N,SFG,National League,OF,SF,9/1/1949,,R,104,,,San Pedro HS (CA),,248,N,Round 2,118117,137,09/01/49,Garry,Maddox,,
4509,4509,348,,,George Foster,185,1,1,-1,3,3,NR,1239,R,January Amateur Draft,,6,15,1968,"Foster, George",0.274,55,N,SFG,National League,OF,SF,12/1/1948,,R,104,,,El Camino CC,,51,N,Round 3,114333,137,12/01/48,George,Foster,,
4530,4530,0,,,John Andrews,175,1,10,4.42,5,5,NR,0,L,January Amateur Draft,0,5,2,1968,"Andrews, John",0.5,76,N,NYY,American League,OF,NYY,2/9/1949,5,L,103,1,1,Pasadena City College,,0,N,Round 5,110269,147,02/09/49,John,Andrews,,
4548,4548,0,,,Bill Campbell,190,1,3,3.54,6,6,NR,2,R,January Amateur Draft,126,6,6,1968,"Campbell, Bill",0.154,94,N,BAL,American League,P,BAL,8/9/1948,864,R,103,68,83,"Warrenton, VA",,0,N,Round 6,111941,110,08/09/48,Bill,Campbell,,
4567,4567,0,,,Bill Slayback,200,1,4,3.84,7,7,NR,0,R,January Amateur Draft,0,6,11,1968,"Slayback, Bill",0.174,113,N,DET,American League,P,DET,2/21/1948,89,R,103,9,6,Glendale CC,,0,N,Round 7,122322,116,02/21/48,Bill,Slayback,,
4583,4583,102,,,Eric Soderholm,187,1,11,-1,1,1,NS,383,R,January Secondary Draft,,5,1,1968,"Soderholm, Eric",0.264,1,N,MIN,American League,IF,MIN,9/24/1948,,R,103,,,South Georgia State,,18,N,Round 1,122517,142,09/24/48,Eric,Soderholm,,
4585,4585,3,,,Ken Szotkiewicz,165,1,0,-1,1,1,NS,9,L,January Secondary Draft,,6,3,1968,"Szotkiewicz, Ken",0.107,3,N,DET,American League,SS,DET,2/25/1947,,R,103,,,Georgia Southern,,0,N,Round 1,123067,116,02/25/47,Ken,Szotkiewicz,,
4587,4587,0,,,Ray Bare,195,1,2,4.79,1,1,NS,1,R,January Secondary Draft,1,6,5,1968,"Bare, Ray",0.2,5,N,CLE,American League,P,CLE,4/15/1949,145,R,103,26,16,Miama Dade CC,,0,N,Round 1,110558,114,04/15/49,Ray,Bare,,
4591,4591,442,,,Dave Kingman,210,1,6,9,1,1,NS,1210,R,January Secondary Draft,0,6,9,1968,"Kingman, Dave",0.236,9,N,BAL,American League,P,BAL,12/21/1948,4,R,103,0,0,"Mount Prospect, IL",,85,N,Round 1,117092,110,12/21/48,Dave,Kingman,,
4593,4593,15,,,Danny Thompson,183,1,0,-1,1,1,NS,194,R,January Secondary Draft,,6,11,1968,"Thompson, Danny",0.248,11,N,WAS,American League,SS,WAS,2/1/1947,,R,103,,,Oklahoma State,,8,N,Round 1,123277,140,02/01/47,Danny,Thompson,,
4596,4596,0,,,Ken Hottman,190,1,11,-1,1,1,NS,0,R,January Secondary Draft,,5,14,1968,"Hottman, Ken",0.125,14,N,STL,National League,OF,STL,5/7/1948,,R,104,,,Sacramento City College,,0,N,Round 1,116173,138,05/07/48,Ken,Hottman,,
4601,4601,1,,,Chris Ward,180,1,0,-1,1,1,NS,15,L,January Secondary Draft,,6,19,1968,"Ward, Chris",0.203,19,N,CHW,American League,OF,CWS,5/18/1949,,L,103,,,Chabot College,,0,N,Round 1,123912,145,05/18/49,Chris,Ward,,
4605,4605,2,,,Chuck Scrivener,170,1,9,-1,2,2,NS,18,R,January Secondary Draft,,5,3,1968,"Scrivener, Chuck",0.19,23,N,DET,American League,SS,DET,10/3/1947,,R,103,,,Baltimore City CC,,2,N,Round 2,121949,116,10/03/47,Chuck,Scrivener,,
4608,4608,155,,,Davey Lopes,170,1,9,-1,2,2,NS,614,R,January Secondary Draft,,5,6,1968,"Lopes, Davey",0.263,26,N,LAD,National League,OF,LA,5/3/1945,,R,104,,,Washburn,,557,N,Round 2,117912,119,05/03/45,Davey,Lopes,,
4611,4611,0,,,Ron Cash,180,1,0,-1,2,2,NS,11,R,January Secondary Draft,,6,9,1968,"Cash, Ron",0.297,29,N,BAL,American League,SS,BAL,11/20/1949,,R,103,,,Manatee Community College,,0,N,Round 2,112091,110,11/20/49,Ron,Cash,,
4614,4614,0,,,Sandy Vance,180,1,2,3.83,2,2,NS,2,R,January Secondary Draft,0,6,12,1968,"Vance, Sandy",0.167,32,N,HOU,National League,P,HOU,1/5/1947,56,R,104,8,9,Stanford,,0,N,Round 2,123631,117,01/05/47,Sandy,Vance,,
4618,4618,185,,,Chris Chambliss,215,1,1,-1,2,2,NS,972,L,January Secondary Draft,,6,16,1968,"Chambliss, Chris",0.279,36,N,CIN,National League,1B,CIN,12/26/1948,,R,104,,,MiraCosta College,,40,N,Round 2,112180,113,12/26/48,Chris,Chambliss,,
4619,4619,0,,,Ray Peters,210,1,6,31.5,2,2,NS,0,R,January Secondary Draft,0,6,17,1968,"Peters, Ray",,37,N,OAK,American League,P,OAK,8/27/1946,1,R,103,2,0,Harvard,,0,N,Round 2,120459,133,08/27/46,Ray,Peters,,
4627,4627,0,,,Rick Sawyer,205,1,2,4.49,3,3,NS,4,R,January Secondary Draft,0,6,5,1968,"Sawyer, Rick",0.182,45,N,CLE,American League,P,CLE,4/7/1948,82,R,103,9,12,Bakersfield College,,0,N,Round 3,121728,114,04/07/48,Rick,Sawyer,,
4635,4635,0,,,Paul Reuschel,225,1,4,4.51,3,3,NS,1,R,January Secondary Draft,13,6,13,1968,"Reuschel, Paul",0.063,53,N,CAL,American League,P,CAL,1/12/1947,188,R,103,16,16,Western Illinois,,0,N,Round 3,121088,108,01/12/47,Paul,Reuschel,,
4636,4636,0,,,Rick Austin,190,1,4,4.63,3,3,NS,0,R,January Secondary Draft,6,6,14,1968,"Austin, Rick",0.105,54,N,STL,National League,P,STL,10/27/1946,106,L,104,8,4,Washington State,,0,N,Round 3,110390,138,10/27/46,Rick,Austin,,
4640,4640,0,,,Tom Dettore,200,1,4,5.21,3,3,NS,7,L,January Secondary Draft,0,6,18,1968,"Dettore, Tom",0.229,58,N,PIT,National League,P,PIT,11/17/1947,106,R,104,11,8,Juniata College,,0,N,Round 3,113301,134,11/17/47,Tom,Dettore,,
4656,4656,3,,,Skip Jutze,195,1,11,-1,4,4,NS,51,R,January Secondary Draft,,5,14,1968,"Jutze, Skip",0.215,74,N,STL,National League,C,STL,5/28/1946,,R,104,,,Central Connecticut State,,1,N,Round 4,116800,138,05/28/46,Skip,Jutze,,
4666,4666,0,,,Barry Lersch,180,1,0,3.82,5,5,NS,3,S,January Secondary Draft,6,6,4,1968,"Lersch, Barry",0.113,84,N,NYM,National League,P,NYM,9/7/1944,317,R,104,32,18,Mesa CC,,0,N,Round 5,117707,121,09/07/44,Barry,Lersch,,
4668,4668,0,,,Geoff Zahn,180,1,1,3.74,5,5,NS,1,L,January Secondary Draft,1,6,6,1968,"Zahn, Geoff",0.14,86,N,LAD,National League,P,LA,12/19/1945,705,L,104,109,111,Michigan,,0,N,Round 5,124734,119,12/19/45,Geoff,Zahn,,
4715,4715,0,,,Terry Wilshusen,210,1,2,81,8,8,NS,0,R,January Secondary Draft,0,6,2,1968,"Wilshusen, Terry",,133,N,DET,American League,P,DET,3/22/1949,0,R,103,0,0,"Torrance, CA",,0,N,Round 8,124377,116,03/22/49,Terry,Wilshusen,,
4735,4735,0,,,Ed Crosby,180,1,2,-1,10,10,NS,44,L,January Secondary Draft,,6,4,1968,"Crosby, Ed",0.22,153,N,LAD,National League,2B,LA,5/26/1949,,R,104,,,Long Beach City College,,1,N,Round 10,112858,119,05/26/49,Ed,Crosby,,
4745,4745,240,,,Jeff Burroughs,200,1,1,-1,1,1,JR,882,R,June Amateur Draft,,6,1,1969,"Burroughs, Jeff",0.261,1,N,WAS,American League,OF,WAS,3/7/1951,,R,103,,,"Woodrow Wilson HS (Long Beach, CA)",,16,N,Round 1,111773,140,03/07/51,Jeff,Burroughs,,
4746,4746,10,,,J.R. Richard,222,1,8,3.15,1,1,JR,50,R,June Amateur Draft,0,6,2,1969,"Richard, J.R.",0.168,2,N,HOU,National League,P,HOU,3/7/1950,1493,R,104,71,107,"Lincoln HS (Ruston, LA)",,2,N,Round 1,121145,117,03/07/50,J.R.,Richard,,
4748,4748,0,,,Randy Sterling,195,1,2,4.82,1,1,JR,0,S,June Amateur Draft,0,6,4,1969,"Sterling, Randy",0,4,N,NYM,National League,P,NYM,4/21/1951,2,R,104,1,1,Key West HS (FL),,0,N,Round 1,122761,121,04/21/51,Randy,Sterling,,
4749,4749,19,,,Alan Bannister,175,1,11,-1,1,1,JR,288,R,June Amateur Draft,,5,5,1969,"Bannister, Alan",0.27,5,N,CAL,American League,SS,CAL,9/3/1951,,R,103,,,"Kennedy HS (Buena Park, CA)",,108,N,Round 1,110539,108,09/03/51,Alan,Bannister,,
4750,4750,28,,,Mike Anderson,200,1,2,0,1,1,JR,134,R,June Amateur Draft,0,6,6,1969,"Anderson, Mike",0.246,6,N,PHI,National League,1B,PHI,6/22/1951,2,R,104,0,0,Timmonsville HS (SC),,8,N,Round 1,110248,143,06/22/51,Mike,Anderson,,
4752,4752,0,,,Terrance McDermott,205,1,3,-1,1,1,JR,0,R,June Amateur Draft,,6,8,1969,"McDermott, Terrance",0.13,8,N,LAD,National League,C,LA,3/20/1951,,R,104,,,"St. Agnes HS (West Hempstead, NY)",,0,N,Round 1,118633,119,03/20/51,Terrance,McDermott,,
4753,4753,1,,,Don Stanhouse,195,1,2,3.84,1,1,JR,9,R,June Amateur Draft,64,6,9,1969,"Stanhouse, Don",0.185,9,N,OAK,American League,P,OAK,2/12/1951,408,R,103,54,38,DuQuoin HS (IL),,0,N,Round 1,122659,133,02/12/51,Don,Stanhouse,,
4755,4755,65,,,Charlie Spikes,220,1,3,-1,1,1,JR,256,R,June Amateur Draft,,6,11,1969,"Spikes, Charlie",0.246,11,N,NYY,American League,3B,NYY,1/23/1951,,R,103,,,"Central Memorial HS (Bogalusa, LA)",,27,N,Round 1,122597,147,01/23/51,Charlie,Spikes,,
4758,4758,0,,,Don Gullett,190,1,0,3.11,1,1,JR,36,R,June Amateur Draft,11,6,14,1969,"Gullett, Don",0.194,14,N,CIN,National League,P,CIN,1/6/1951,921,L,104,50,109,"McKell HS (Lynn, KY)",,2,N,Round 1,115239,113,01/06/51,Don,Gullett,,
4760,4760,5,,,Roger Metzger,165,1,0,-1,1,1,JR,254,S,June Amateur Draft,,6,16,1969,"Metzger, Roger",0.231,16,N,CHC,National League,SS,CHC,10/10/1947,,R,104,,,St. Edward's,,83,N,Round 1,119001,112,10/10/47,Roger,Metzger,,
4761,4761,0,,,Don Hood,180,1,2,3.79,1,1,JR,1,L,June Amateur Draft,6,6,17,1969,"Hood, Don",0.2,17,N,BAL,American League,P,BAL,10/16/1949,374,L,103,35,34,"Southside HS (Florence, SC)",,0,N,Round 1,116120,110,10/16/49,Don,Hood,,
4762,4762,11,,,Mike Phillips,185,1,1,-1,1,1,JR,145,L,June Amateur Draft,,6,18,1969,"Phillips, Mike",0.24,18,N,SFG,National League,SS,SF,8/19/1950,,R,104,,,"McArthur HS (Irving, TX)",,12,N,Round 1,120524,137,08/19/50,Mike,Phillips,,
4765,4765,268,,,Gorman Thomas,210,1,2,-1,1,1,JR,782,R,June Amateur Draft,,6,21,1969,"Thomas, Gorman",0.225,21,N,SEA,American League,SS,SEA,12/12/1950,,R,103,,,"James Island HS (Charleston, SC)",,50,N,Round 1,123251,158,12/12/50,Gorman,Thomas,,
4766,4766,0,,,Balor Moore,180,1,2,4.52,1,1,JR,6,L,June Amateur Draft,1,6,22,1969,"Moore, Balor",0.106,22,N,MON,National League,P,MON,1/25/1951,496,L,104,48,28,Deer Park HS (TX),,0,N,Round 1,119286,120,01/25/51,Balor,Moore,,
4768,4768,8,,,Randy Elliott,190,1,2,-1,1,1,JR,35,R,June Amateur Draft,,6,24,1969,"Elliott, Randy",0.215,24,N,SDP,National League,1B,SD,6/5/1951,,R,104,,,"Adolfo Camarillo HS (Camarillo, CA)",,0,N,Round 1,113812,135,06/05/51,Randy,Elliott,,
4770,4770,7,,,Stan Papi,175,1,0,-1,2,2,JR,51,R,June Amateur Draft,,6,2,1969,"Papi, Stan",0.218,26,N,HOU,National League,SS,HOU,2/4/1951,,R,104,,,"Bullard HS (Fresno, CA)",,2,N,Round 2,120209,117,02/04/51,Stan,Papi,,
4772,4772,27,,,Joe Nolan,190,1,0,-1,2,2,JR,178,L,June Amateur Draft,,6,4,1969,"Nolan, Joe",0.263,28,N,NYM,National League,C,NYM,5/12/1951,,R,104,,,"Southwest HS (St. Louis, MO)",,7,N,Round 2,119823,121,05/12/51,Joe,Nolan,,
4774,4774,2,,,Mike Rogodzinski,185,1,0,-1,2,2,JR,12,L,June Amateur Draft,,6,6,1969,"Rogodzinski, Mike",0.219,30,N,PHI,National League,OF,PHI,2/22/1948,,R,104,,,Southern Illinois,,0,N,Round 2,121394,143,02/22/48,Mike,Rogodzinski,,
4777,4777,0,,,Tommy Sandt,175,1,11,-1,2,2,JR,3,R,June Amateur Draft,,5,9,1969,"Sandt, Tommy",0.209,33,N,OAK,American League,SS,OAK,12/22/1950,,R,103,,,"Pacifica HS (Garden Grove, CA)",,0,N,Round 2,121681,133,12/22/50,Tommy,Sandt,,
4780,4780,2,,,Leo Foster,165,1,11,-1,2,2,JR,26,R,June Amateur Draft,,5,12,1969,"Foster, Leo",0.198,36,N,ATL,National League,SS,ATL,2/2/1951,,R,104,,,"Holmes HS (Covington, KY)",,7,N,Round 2,114336,144,02/02/51,Leo,Foster,,
4781,4781,28,,,Rick Miller,185,1,0,-1,2,2,JR,369,L,June Amateur Draft,,6,13,1969,"Miller, Rick",0.269,37,N,BOS,American League,OF,BOS,4/19/1948,,L,103,,,Michigan State,,78,N,Round 2,119109,111,04/19/48,Rick,Miller,,
4784,4784,0,,,Larry Gura,185,1,1,3.76,2,2,JR,1,S,June Amateur Draft,14,6,16,1969,"Gura, Larry",0.091,40,N,CHC,National League,P,CHC,11/26/1947,801,L,104,97,126,Arizona State,,0,N,Round 2,115255,112,11/26/47,Larry,Gura,,
4799,4799,0,,,Bert Blyleven,207,1,3,3.31,3,3,JR,25,R,June Amateur Draft,0,6,7,1969,"Blyleven, Bert",0.131,55,Y,MIN,American League,P,MIN,4/6/1951,3701,R,103,250,287,"Santiago HS (Garden Grove, CA)",,0,N,Round 3,111126,142,04/06/51,Bert,Blyleven,,
4801,4801,0,,,Steve Lawson,175,1,1,2.81,3,3,JR,0,R,June Amateur Draft,1,6,9,1969,"Lawson, Steve",1,57,N,OAK,American League,P,OAK,12/28/1950,13,L,103,0,0,"San Lorenzo HS (San Leandro, CA)",,0,N,Round 3,117564,133,12/28/50,Steve,Lawson,,
4802,4802,0,,,Fred Cambria,195,1,2,3.51,3,3,JR,1,R,June Amateur Draft,0,6,10,1969,"Cambria, Fred",0.2,58,N,PIT,National League,P,PIT,1/22/1948,14,R,104,2,1,Saint Leo,,0,N,Round 3,111901,134,01/22/48,Fred,Cambria,,
4803,4803,0,,,Henry LaRose,185,1,1,22.5,3,3,JR,0,L,June Amateur Draft,0,6,11,1969,"LaRose, Henry",,59,N,NYY,American League,P,NYY,10/25/1951,0,L,103,0,0,Cumberland HS (RI),,0,N,Round 3,117511,147,10/25/51,Henry,LaRose,,
4804,4804,20,,,Larvell Blanks,167,1,8,-1,3,3,JR,172,R,June Amateur Draft,,5,12,1969,"Blanks, Larvell",0.253,60,N,ATL,National League,SS,ATL,1/28/1950,,R,104,,,"San Felipe HS (Del Rio, TX)",,9,N,Round 3,111082,144,01/28/50,Larvell,Blanks,,
4805,4805,0,,,Buddy Hunter,170,1,10,-1,3,3,JR,2,R,June Amateur Draft,,5,13,1969,"Hunter, Buddy",0.294,61,N,BOS,American League,IF,BOS,8/9/1947,,R,103,,,John J. Pershing College,,0,N,Round 3,116332,111,08/09/47,Buddy,Hunter,,
4806,4806,0,,,Rawly Eastwick,180,1,3,3.31,3,3,JR,1,R,June Amateur Draft,68,6,14,1969,"Eastwick, Rawly",0.071,62,N,CIN,National League,P,CIN,10/24/1950,295,R,104,27,28,Haddonfield HS (NJ),,0,N,Round 3,113716,113,10/24/50,Rawly,Eastwick,,
4807,4807,90,,,Alan Ashby,190,1,2,-1,3,3,JR,513,S,June Amateur Draft,,6,15,1969,"Ashby, Alan",0.245,63,N,CLE,American League,C,CLE,7/8/1951,,R,103,,,San Pedro HS (CA),,7,N,Round 3,110350,114,07/08/51,Alan,Ashby,,
4810,4810,0,,,Horace Speed,180,1,1,-1,3,3,JR,6,R,June Amateur Draft,,6,18,1969,"Speed, Horace",0.207,66,N,SFG,National League,OF,SF,10/4/1951,,R,104,,,"Banning HS (Compton, CA)",,4,N,Round 3,122569,137,10/04/51,Horace,Speed,,
4811,4811,0,,,Bill Gilbreth,180,1,0,6.69,3,3,JR,0,L,June Amateur Draft,0,6,19,1969,"Gilbreth, Bill",0.167,67,N,DET,American League,P,DET,9/3/1947,16,L,103,1,2,Abilene Christian,,0,N,Round 3,114786,116,09/03/47,Bill,Gilbreth,,
4812,4812,0,,,Mick Kelleher,175,1,9,-1,3,3,JR,65,R,June Amateur Draft,,5,20,1969,"Kelleher, Mick",0.213,68,N,STL,National League,SS,STL,7/25/1947,,R,104,,,Puget Sound,,9,N,Round 3,116918,138,07/25/47,Mick,Kelleher,,
4815,4815,30,,,Pete Mackanin,190,1,2,-1,4,4,JR,141,R,June Amateur Draft,,6,1,1969,"Mackanin, Pete",0.226,71,N,WAS,American League,3B,WAS,8/1/1951,,R,103,,,"Brother Rice Catholic HS (Chicago, IL)",,27,N,Round 4,118093,140,08/01/51,Pete,Mackanin,,
4819,4819,2,,,Rudy Meoli,165,1,9,-1,4,4,JR,40,L,June Amateur Draft,,5,5,1969,"Meoli, Rudy",0.212,75,N,CAL,American League,SS,CAL,5/1/1951,,R,103,,,"Royal Oak HS (Covina, CA)",,10,N,Round 4,118956,108,05/01/51,Rudy,Meoli,,
4827,4827,0,,,Jim Wright,165,1,1,3.82,4,4,JR,0,R,June Amateur Draft,0,6,13,1969,"Wright, Jim",,83,N,BOS,American League,P,BOS,12/21/1950,71,R,103,4,9,Coopersville HS (MI),,0,N,Round 4,124601,111,12/21/50,Jim,Wright,,
4834,4834,44,,,Bill Stein,170,1,10,-1,4,4,JR,311,R,June Amateur Draft,,5,20,1969,"Stein, Bill",0.267,90,N,STL,National League,SS,STL,1/21/1947,,R,104,,,Southern Illinois,,16,N,Round 4,122720,138,01/21/47,Bill,Stein,,
4837,4837,0,,,Al Autry,225,1,5,5.4,4,4,JR,0,R,June Amateur Draft,0,6,23,1969,"Autry, Al",0,93,N,KCR,American League,P,KC,2/29/1952,3,R,103,0,1,"Grace Davis HS (Modesto, CA)",,0,N,Round 4,110391,118,02/29/52,Al,Autry,,
4839,4839,1,,,Dave Criscione,185,1,8,-1,5,5,JR,1,R,June Amateur Draft,,5,1,1969,"Criscione, Dave",0.333,95,N,WAS,American League,C,WAS,9/2/1951,,R,103,,,Dunkirk HS (NY),,0,N,Round 5,112830,140,09/02/51,Dave,Criscione,,
4848,4848,4,,,John Doherty,185,1,11,-1,5,5,JR,27,L,June Amateur Draft,,5,10,1969,"Doherty, John",0.24,104,N,PIT,National League,OF,PIT,8/22/1951,,L,104,,,Reading HS (MA),,3,N,Round 5,113422,134,08/22/51,John,Doherty,,
4851,4851,385,,,Dwight Evans,205,1,2,-1,5,5,JR,1384,R,June Amateur Draft,,6,13,1969,"Evans, Dwight",0.272,107,N,BOS,American League,3B,BOS,11/3/1951,,R,103,,,"Chatsworth HS (Northridge, CA)",,78,N,Round 5,113936,111,11/03/51,Dwight,Evans,,
4859,4859,0,,,Gary Martz,210,1,4,-1,5,5,JR,0,R,June Amateur Draft,,6,21,1969,"Martz, Gary",0,115,N,SEA,American League,OF,SEA,1/10/1951,,R,103,,,"West Valley HS (Spokane, WA)",,0,N,Round 5,118387,158,01/10/51,Gary,Martz,,
4861,4861,0,,,Keith Marshall,175,1,2,-1,5,5,JR,3,R,June Amateur Draft,,6,23,1969,"Marshall, Keith",0.222,117,N,KCR,American League,OF,KC,7/2/1951,,R,103,,,"Loara HS (Anaheim, CA)",,0,N,Round 5,118318,118,07/02/51,Keith,Marshall,,
4868,4868,105,,,Bob Boone,202,1,2,-1,6,6,JR,826,R,June Amateur Draft,,6,6,1969,"Boone, Bob",0.254,124,N,PHI,National League,3B,PHI,11/19/1947,,R,104,,,Stanford,,38,N,Round 6,111221,143,11/19/47,Bob,Boone,,
4870,4870,0,,,Stan Wall,175,1,1,3.86,6,6,JR,0,L,June Amateur Draft,1,6,8,1969,"Wall, Stan",0,126,N,LAD,National League,P,LA,6/16/1951,55,L,104,6,4,"Raytown South HS (Raytown, MO)",,0,N,Round 6,123853,119,06/16/51,Stan,Wall,,
4871,4871,95,,,Jim Sundberg,195,1,0,-1,6,6,JR,624,R,June Amateur Draft,,6,9,1969,"Sundberg, Jim",0.248,127,N,OAK,American League,C,OAK,5/18/1951,,R,103,,,Galesburg HS (IL),,20,N,Round 6,122983,133,05/18/51,Jim,Sundberg,,
4874,4874,0,,,Jimmy Freeman,180,1,4,6.87,6,6,JR,0,L,June Amateur Draft,1,6,12,1969,"Freeman, Jimmy",0.115,130,N,ATL,National League,P,ATL,6/29/1951,38,L,104,4,2,"Hale HS (Tulsa, OK)",,0,N,Round 6,114404,144,06/29/51,Jimmy,Freeman,,
4879,4879,3,,,Dave Skaggs,200,1,2,-1,6,6,JR,49,R,June Amateur Draft,,6,17,1969,"Skaggs, Dave",0.241,135,N,BAL,American League,C,BAL,6/12/1951,,R,103,,,"North Torrance HS (Lawndale, CA)",,0,N,Round 6,122289,110,06/12/51,Dave,Skaggs,,
4880,4880,24,,,Steve Ontiveros,185,1,0,-1,6,6,JR,224,S,June Amateur Draft,,6,18,1969,"Ontiveros, Steve",0.274,136,N,SFG,National League,3B,SF,10/26/1951,,R,104,,,Bakersfield HS (CA),,5,N,Round 6,120037,137,10/26/51,Steve,Ontiveros,,
4881,4881,0,,,Lerrin LaGrow,220,1,5,4.11,6,6,JR,0,R,June Amateur Draft,54,6,19,1969,"LaGrow, Lerrin",0.154,137,N,DET,American League,P,DET,7/8/1948,375,R,103,55,34,Arizona State,,0,N,Round 6,117410,116,07/08/48,Lerrin,LaGrow,,
4889,4889,1,,,Bruce Kimm,175,1,11,-1,7,7,JR,26,R,June Amateur Draft,,5,3,1969,"Kimm, Bruce",0.237,145,N,CHW,American League,C,CWS,6/29/1951,,R,103,,,Norway HS (IA),,5,N,Round 7,117067,145,06/29/51,Bruce,Kimm,,
4899,4899,0,,,Steve Barr,200,1,4,5.16,7,7,JR,0,L,June Amateur Draft,0,6,13,1969,"Barr, Steve",,155,N,BOS,American League,P,BOS,9/8/1951,32,L,103,7,3,"Carson HS (Torrance, CA)",,0,N,Round 7,110607,111,09/08/51,Steve,Barr,,
4904,4904,61,,,Gary Thomasson,180,1,1,-1,7,7,JR,294,L,June Amateur Draft,,6,18,1969,"Thomasson, Gary",0.249,160,N,SFG,National League,OF,SF,7/29/1951,,L,104,,,Oceanside HS (CA),,50,N,Round 7,123271,137,07/29/51,Gary,Thomasson,,
4917,4917,50,,,Rick Burleson,165,1,10,-1,8,8,JR,449,R,June Amateur Draft,,5,7,1969,"Burleson, Rick",0.273,173,N,MIN,American League,SS,MIN,4/29/1951,,R,103,,,"Warren HS (South Gate, CA)",,72,N,Round 8,111737,142,04/29/51,Rick,Burleson,,
4919,4919,0,,,Glenn Abbott,200,1,6,4.39,8,8,JR,0,R,June Amateur Draft,0,6,9,1969,"Abbott, Glenn",,175,N,OAK,American League,P,OAK,2/16/1951,484,R,103,83,62,North Little Rock HS (AR),,0,N,Round 8,110016,133,02/16/51,Glenn,Abbott,,
4954,4954,40,,,Bucky Dent,180,1,10,-1,9,9,JR,423,R,June Amateur Draft,,5,20,1969,"Dent, Bucky",0.247,210,N,STL,National League,3B,STL,11/25/1951,,R,104,,,Hialeah HS (FL),,17,N,Round 9,113275,138,11/25/51,Bucky,Dent,,
4969,4969,0,,,Ken Crosby,179,1,2,8.41,10,10,JR,0,R,June Amateur Draft,0,6,11,1969,"Crosby, Ken",0.5,225,N,NYY,American League,P,NYY,12/15/1947,11,R,103,0,1,Brigham Young,,0,N,Round 10,112860,147,12/15/47,Ken,Crosby,,
4974,4974,0,,,Jim Todd,190,1,2,4.23,10,10,JR,1,L,June Amateur Draft,24,6,16,1969,"Todd, Jim",0.059,230,N,CHC,National League,P,CHC,9/21/1947,194,R,104,23,25,Millersville University of Pennsylvania,,0,N,Round 10,123374,112,09/21/47,Jim,Todd,,
4987,4987,21,,,Jim Wohlford,175,1,11,-1,11,11,JR,305,R,June Amateur Draft,,5,5,1969,"Wohlford, Jim",0.26,243,N,CAL,American League,2B,CAL,2/28/1951,,R,103,,,"Mount Whitney HS (Visalia, CA)",,89,N,Round 11,124499,108,02/28/51,Jim,Wohlford,,
5000,5000,1,,,Skip Pitlock,180,1,2,4.53,11,11,JR,2,L,June Amateur Draft,1,6,18,1969,"Pitlock, Skip",0.08,256,N,SFG,National League,P,SF,11/6/1947,124,L,104,8,8,Southern Illinois,,0,N,Round 11,120603,137,11/06/47,Skip,Pitlock,,
5002,5002,163,,,Bill Madlock,185,1,11,-1,11,11,JR,860,R,June Amateur Draft,,5,20,1969,"Madlock, Bill",0.305,258,N,STL,National League,3B,STL,1/12/1951,,R,104,,,"Eisenhower HS (Decatur, IL)",,174,N,Round 11,118127,138,01/12/51,Bill,Madlock,,
5020,5020,0,,,Nardi Contreras,193,1,2,5.93,12,12,JR,0,S,June Amateur Draft,0,6,14,1969,"Contreras, Nardi",,276,N,CIN,National League,P,CIN,9/19/1951,8,R,104,0,0,"Tampa Catholic HS (Tampa, FL)",,0,N,Round 12,112604,113,09/19/51,Nardi,Contreras,,
