,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF,Debut Year
2174,browt101,Brown,Thomas William,Tom,12/12/1940,Laureldale,Pennsylvania,USA,4/8/1963,9/29/1963,,,,,,,,,,,B,L,1-Jun,190,,,,,,,,,NOT,1963
2175,browt102,Brown,Thomas Tarlton,Tom,09/21/1860,Liverpool,,England,07/06/1882,05/17/1898,06/09/1897,06/04/1898,,,07/04/1898,10/4/1907,10/25/1927,Washington,D.C.,USA,L,R,10-May,168,Fort Lincoln Cemetery,Brentwood,Maryland,USA,,,,,NOT,1882
2176,browt103,Brown,Thomas Michael,Tommy,12/6/1927,Brooklyn,New York,USA,8/3/1944,9/25/1953,,,,,,,,,,,R,R,1-Jun,170,,,,,,,,,NOT,1944
2177,browt104,Brown,Thomas Dale,Tom,8/10/1949,Lafayette,Louisiana,USA,9/14/1978,10/1/1978,,,,,,,,,,,R,R,1-Jun,170,,,,,,,,,NOT,1978
2178,browu101,Brown,Robert,Robert,,,,,07/29/1874,08/31/1874,,,,,,,,,,,,,,,,,,,,,,,NOT,1874
2179,broww101,Brown,Willard Jessie,Willard,6/26/1915,Shreveport,Louisiana,USA,7/19/1947,8/17/1947,,,,,,,8/4/1996,Houston,Texas,USA,R,R,5-11.5,200,Houston National Cemetery,Houston,Texas,USA,,,,,HOF,1947
2180,broww102,Brown,William M.,William,1866,San Francisco,California,USA,05/10/1887,05/20/1894,,,,,,,12/20/1897,San Francisco,California,USA,R,R,2-Jun,190,Holy Cross Cemetery,Colma,California,USA,"Removed from Mount Calvary Cemetery, SF",,,,NOT,1887
2181,broww103,Brown,Walter Irving,Walter,4/23/1915,Jamestown,New York,USA,5/16/1947,9/24/1947,,,,,,,2/3/1991,Westfield,New York,USA,R,R,11-May,175,Bemus Point Cemetery,Bemus Point,New York,USA,Cremated,,,,NOT,1947
2182,broxj001,Broxton,Jonathan Roy,Jonathan,6/16/1984,Augusta,Georgia,USA,7/29/2005,5/30/2017,,,,,,,,,,,R,R,4-Jun,275,,,,,,,,,NOT,2005
2183,broxk001,Broxton,Keon Darell,Keon,5/7/1990,Lakeland,Florida,USA,9/21/2015,9/28/2019,,,,,,,,,,,R,R,3-Jun,195,,,,,,,,,NOT,2015
2184,brubb101,Brubaker,Wilbur Lee,Bill,11/7/1910,Cleveland,Ohio,USA,9/8/1932,7/11/1943,,,,,,,4/2/1978,Laguna Hills,California,USA,R,R,2-Jun,185,Cremated,,,,,,,,NOT,1932
2185,brubb102,Brubaker,Bruce Ellsworth,Bruce,12/29/1941,Harrisburg,Pennsylvania,USA,4/15/1967,8/5/1970,,,,,,,,,,,R,R,1-Jun,198,,,,,,,,,NOT,1967
2186,brubj001,Brubaker,Jonathan Trey,JT,11/17/1993,Springfield,Ohio,USA,7/26/2020,9/27/2020,,,,,,,,,,,R,R,3-Jun,185,,,,,,,,,,2020
2187,bruca101,Bruckmiller,Andrew,Andy,01/01/1882,Pittsburgh,Pennsylvania,USA,6/26/1905,6/26/1905,,,,,,,1/12/1970,McKeesport,Pennsylvania,USA,R,R,11-May,175,Elizabeth Cemetery,Elizabeth,Pennsylvania,USA,,,,,NOT,1905
2188,brucb101,Bruce,Robert James,Bob,5/16/1933,New York,New York,USA,9/14/1959,6/24/1967,,,,,,,3/14/2017,Plano,Texas,USA,R,R,3-Jun,200,Cremated,,,,Ashes scattered,,,,NOT,1959
2189,bruce101,Brucker,"Earle Francis, Sr.",Earle,5/6/1901,Albany,New York,USA,4/19/1937,5/23/1943,7/30/1952,8/3/1952,15445,19265,,,5/8/1981,San Diego,California,USA,R,R,11-May,175,Greenwood Memorial Park,San Diego,California,USA,,,,,NOT,1937
2190,bruce102,Brucker,"Earle Francis, Jr.",Earle,8/25/1925,Los Angeles,California,USA,10/2/1948,10/3/1948,,,,,,,3/28/2009,El Cajon,California,USA,L,R,2-Jun,210,Fort Rosecrans National Cemetery,San Diego,California,USA,,,,,NOT,1948
2191,brucf101,Bruckbauer,Frederick John,Fred,5/27/1938,New Ulm,Minnesota,USA,4/25/1961,4/25/1961,,,,,,,10/14/2007,Naples,Florida,USA,R,R,1-Jun,185,St. Mary Catholic Cemetery,Sleepy Eye,Minnesota,USA,Cremated,,,,NOT,1961
2192,brucj001,Bruce,Jay Allen,Jay,4/3/1987,Beaumont,Texas,USA,5/27/2008,9/27/2020,,,,,,,,,,,L,L,3-Jun,205,,,,,,,,,NOT,2008
2193,brucl101,Bruce,Louis R.,Lou,01/16/1877,St. Regis,New York,USA,6/22/1904,10/10/1904,,,,,,,2/9/1968,Ilion,New York,USA,L,R,5-May,145,Lake View Cemetery,Richfield Springs,New York,USA,,,,,NOT,1904
2194,bruej001,Bruett,Joseph Timothy,J.T.,10/8/1967,Milwaukee,Wisconsin,USA,6/3/1992,5/2/1993,,,,,,,,,,,L,L,11-May,175,,,,,,,,,NOT,1992
2195,brugf101,Bruggy,Frank Leo,Frank,05/04/1891,Elizabeth,New Jersey,USA,4/13/1921,6/4/1925,,,,,,,4/5/1959,Elizabeth,New Jersey,USA,R,R,11-May,195,St. Gertrude Cemetery,Colonia,New Jersey,USA,,,,,NOT,1921
2196,brugj001,Brugman,Jaycob Hull,Jaycob,1/18/1992,Chandler,Arizona,USA,6/9/2017,8/9/2017,,,,,,,,,,,L,L,Jun-00,190,,,,,,,,,NOT,2017
2197,bruhm101,Bruhert,Michael Edwin,Mike,6/24/1951,Jamaica,New York,USA,4/9/1978,9/29/1978,,,,,,,,,,,R,R,6-Jun,220,,,,,,,,,NOT,1978
2198,brumc001,Brumbaugh,Clifford Michael,Cliff,4/21/1974,Wilmington,Delaware,USA,5/30/2001,7/24/2001,,,,,,,,,,,R,R,2-Jun,205,,,,,,,,,NOT,2001
2199,brumd001,Brumley,Duff Lechaun,Duff,8/25/1970,Cleveland,Tennessee,USA,6/1/1994,6/6/1994,,,,,,,,,,,R,R,4-Jun,195,,,,,,,,,NOT,1994
2200,brumg001,Brummer,Glenn Edward,Glenn,11/23/1954,Olney,Illinois,USA,5/25/1981,10/6/1985,,,,,,,,,,,R,R,Jun-00,200,,,,,,,,,NOT,1981
2201,brumg002,Brummett,Gregory Scott,Greg,4/20/1967,Wichita,Kansas,USA,5/29/1993,9/30/1993,,,,,,,,,,,R,R,Jun-00,185,,,,,,,,,NOT,1993
2202,brumj001,Brumfield,Jacob Donnell,Jacob,5/27/1965,Bogalusa,Louisiana,USA,4/6/1992,9/30/1999,,,,,,,,,,,R,R,Jun-00,170,,,,,,,,,NOT,1992
2203,brumm001,Brumley,Anthony Michael,Mike,4/9/1963,Oklahoma City,Oklahoma,USA,6/16/1987,10/1/1995,,,40273,41910,,,,,,,B,R,10-May,165,,,,,,,,,NOT,1987
2204,brumm101,Brumley,Tony Mike,Mike,7/10/1938,Granite,Oklahoma,USA,4/18/1964,9/15/1966,,,,,,,8/8/2016,Grapevine,Texas,USA,L,R,10-May,195,,,,,,,,,NOT,1964
2205,brumt001,Brummett,Tyson Colby,Tyson,8/15/1984,Columbus,Mississippi,USA,10/3/2012,10/3/2012,,,,,,,7/3/2020,American Folk Canyon,Utah,USA,R,R,Jun-00,180,,,,,,,,,NOT,2012
2206,bruna101,Brunsberg,Arlo Adolph,Arlo,8/15/1940,Fertile,Minnesota,USA,9/23/1966,10/2/1966,,,,,,,,,,,L,R,Jun-00,195,,,,,,,,,NOT,1966
2207,brunb001,Bruney,Brian Anthony,Brian,2/17/1982,Astoria,Oregon,USA,5/8/2004,6/24/2012,,,,,,,,,,,R,R,3-Jun,225,,,,,,,,,NOT,2004
2208,brune001,Bruntlett,Eric Kevin,Eric,3/29/1978,Lafayette,Indiana,USA,6/27/2003,10/31/2009,,,,,,,,,,,R,R,Jun-00,200,,,,,,,,,NOT,2003
2209,brung101,Brunet,George Stuart,George,6/8/1935,Houghton,Michigan,USA,9/14/1956,4/28/1971,,,,,,,10/25/1991,Poza Rica,Veracruz,Mexico,R,L,1-Jun,195,,,,,,,,,NOT,1956
2210,brunj001,Brunette,Justin Thomas,Justin,10/7/1975,Los Alamitos,California,USA,4/13/2000,5/12/2000,,,,,,,,,,,L,L,1-Jun,200,,,,,,,,,NOT,2000
2211,brunj101,Bruner,Jack Raymond,Jack,7/1/1924,Waterloo,Iowa,USA,9/16/1949,10/1/1950,,,,,,,6/24/2003,Lincoln,Nebraska,USA,L,L,1-Jun,185,Lincoln Memorial Park,Lincoln,Nebraska,USA,,,,,NOT,1949
2212,brunr101,Bruner,Walter Roy,Roy,2/10/1917,Cecilia,Kentucky,USA,9/14/1939,6/8/1941,,,,,,,11/30/1986,St. Matthews,Kentucky,USA,R,R,Jun-00,165,Resthaven Memorial Park,Louisville,Kentucky,USA,,,,,NOT,1939
2213,brunt001,Brunansky,Thomas Andrew,Tom,8/20/1960,Covina,California,USA,4/9/1981,8/10/1994,,,41365,42645,,,,,,,R,R,4-Jun,205,,,,,,,,,NOT,1981
2214,brunt101,Bruno,Thomas Michael,Tom,1/26/1953,Chicago,Illinois,USA,8/1/1976,9/28/1979,,,,,,,,,,,R,R,5-Jun,210,,,,,,,,,NOT,1976
2215,brunw001,Brunson,William Donald,Will,3/20/1970,Irving,Texas,USA,6/21/1998,7/9/1999,,,,,,,,,,,L,L,4-Jun,185,,,,,,,,,NOT,1998
2216,brusb101,Brush,Robert,Bob,03/08/1875,Osage,Iowa,USA,4/20/1907,4/23/1907,,,,,,,4/2/1944,San Bernardino,California,USA,,,10-May,,Cremated,,,,,,,,NOT,1907
2217,brusj001,Bruske,James Scott,Jim,10/7/1964,East St. Louis,Illinois,USA,8/25/1995,5/13/2000,,,,,,,,,,,R,R,1-Jun,185,,,,,,,,,NOT,1995
2218,brusw001,Brusstar,Warren Scott,Warren,2/2/1952,Oakland,California,USA,5/6/1977,10/3/1985,,,,,,,,,,,R,R,3-Jun,200,,,,,,,,,NOT,1977
2219,brutb101,Bruton,William Haron,Bill,11/9/1925,Panola,Alabama,USA,4/13/1953,10/2/1964,,,,,,,12/5/1995,Marshallton,Delaware,USA,L,R,6-00.5,169,Gracelawn Memorial Park,New Castle,Delaware,USA,,,,,NOT,1953
2220,bruye101,Bruyette,Edward T.,Ed,08/31/1874,Manawa,Wisconsin,USA,8/6/1901,9/10/1901,,,,,,,8/5/1940,Peshastin,Washington,USA,L,R,10-May,170,Cremated,,,,,,,,NOT,1901
2221,bryab101,Bryan,William Ronald,Billy,12/4/1938,Morgan,Georgia,USA,9/12/1961,7/23/1968,,,,,,,,,,,L,R,4-Jun,200,,,,,,,,,NOT,1961
2222,bryac101,Bryant,Henry Claiborne,Clay,11/16/1911,Madison Heights,Virginia,USA,4/19/1935,9/26/1940,,,22382,27304,,,4/9/1999,Boca Raton,Florida,USA,R,R,6-02.5,195,Forest Lawn South Cemetery,Fort Lauderdale,Florida,USA,,,,,NOT,1935
2223,bryad101,Bryant,Donald Ray,Don,7/13/1941,Jasper,Florida,USA,7/17/1966,7/29/1970,,,27124,29436,,,1/22/2015,Jacksonville,Florida,USA,R,R,5-Jun,200,Jacksonville Memory Gardens,Orange Park,Florida,USA,,,,,NOT,1966
2224,bryad102,Bryant,Derek Roszell,Derek,10/9/1951,Lexington,Kentucky,USA,4/24/1979,9/19/1979,,,,,,,,,,,R,R,11-May,185,,,,,,,,,NOT,1979
2225,bryag101,Bryant,George F.,George,02/10/1857,Bridgeport,Connecticut,USA,08/06/1885,08/06/1885,,,,,,,6/12/1907,Boston,Massachusetts,USA,,,,,Mount Hope Cemetery,Mattapan,Massachusetts,USA,,,,,NOT,1885
2226,bryak001,Bryant,Kristopher Lee,Kris,1/4/1992,Las Vegas,Nevada,USA,4/17/2015,10/2/2020,,,,,,,,,,,R,R,5-Jun,215,,,,,,,,,NOT,2015
2227,bryar001,Bryant,Ralph Wendell,Ralph,5/20/1961,Fort Gaines,Georgia,USA,9/8/1985,10/4/1987,,,,,,,,,,,L,R,2-Jun,200,,,,,,,,,NOT,1985
2228,bryar101,Bryant,Ronald Raymond,Ron,11/12/1947,Redlands,California,USA,9/29/1967,7/29/1975,,,,,,,,,,,B,L,Jun-00,190,,,,,,,,,NOT,1967
2229,brydt001,Bryden,Thomas Ray,T.R.,1/17/1959,Moses Lake,Washington,USA,4/10/1986,6/8/1986,,,,,,,,,,,R,R,4-Jun,190,,,,,,,,,NOT,1986
2230,bryes101,Brye,Stephen Robert,Steve,2/4/1949,Alameda,California,USA,9/3/1970,10/1/1978,,,,,,,,,,,R,R,Jun-00,190,,,,,,,,,NOT,1970
2231,brynt101,Brynan,Charles Ruley,Tod,07/30/1863,Philadelphia,Pennsylvania,USA,06/22/1888,05/26/1891,,,,,,,5/10/1925,Philadelphia,Pennsylvania,USA,R,R,10-May,156,Fernwood Cemetery,"Fernwood, Delaware County",Pennsylvania,USA,,,,,NOT,1888
2232,bubej001,Bubela,Jaime Lee,Jaime,6/6/1978,Houston,Texas,USA,9/15/2005,10/2/2005,,,,,,,,,,,L,R,1-Jun,200,,,,,,,,,NOT,2005
2233,bubik001,Bubic,Kristofer Sime,Kris,8/19/1997,Cupertino,California,USA,7/31/2020,9/24/2020,,,,,,,,,,,L,L,3-Jun,220,,,,,,,,,,2020
2234,bubsh101,Bubser,Harold Frederick,Hal,09/28/1895,Chicago,Illinois,USA,4/15/1922,5/4/1922,,,,,,,6/22/1959,Melrose Park,Illinois,USA,R,R,11-May,170,St. Joseph Cemetery,River Grove,Illinois,USA,,,,,NOT,1922
2235,buchb001,Buchanan,Robert Gordon,Bob,5/3/1961,Ridley Park,Pennsylvania,USA,7/13/1985,7/16/1989,,,,,,,,,,,L,L,1-Jun,185,,,,,,,,,NOT,1985
2236,buchb002,Buchanan,Brian James,Brian,7/21/1973,Miami,Florida,USA,5/19/2000,8/29/2004,,,42827,43009,,,,,,,R,R,4-Jun,230,,,,,,,,,NOT,2000
2237,buchc001,Buchholz,Clay Daniel,Clay,8/14/1984,Nederland,Texas,USA,8/17/2007,9/29/2019,,,,,,,,,,,L,R,3-Jun,190,,,,,,,,,NOT,2007
2238,buchd001,Buchanan,David Andrew,David,5/11/1989,Atlanta,Georgia,USA,5/24/2014,10/4/2015,,,,,,,,,,,R,R,3-Jun,200,,,,,,,,,NOT,2014
2239,buchj001,Buchanan,Jake T.,Jake,9/24/1989,Charlotte,North Carolina,USA,6/21/2014,6/17/2017,,,,,,,,,,,R,R,Jun-00,235,,,,,,,,,NOT,2014
2240,buchj101,Bucher,James Quinter,Jim,3/24/1911,Manassas,Virginia,USA,4/18/1934,9/29/1945,,,,,,,10/21/2004,Elizabethtown,Pennsylvania,USA,L,R,11-May,170,Gravel Hill Church Cemetery,Palmyra,Pennsylvania,USA,,,,,NOT,1934
2241,buchj102,Buchek,Gerald Peter,Jerry,5/9/1942,St. Louis,Missouri,USA,6/30/1961,9/28/1968,,,,,,,1/2/2019,Springfield,Missouri,USA,R,R,11-May,185,Cremated,,,,,,,,NOT,1961
2242,buchj103,Buchanan,James Forrest,Jim,07/01/1876,Chatham Hill,Virginia,USA,4/16/1905,10/7/1905,,,,,,,6/15/1949,Norfolk,Nebraska,USA,L,R,10-May,165,Randolph Cemetery,Randolph,Nebraska,USA,,,,,NOT,1905
2243,buchj104,Bucha,John George,Johnny,1/22/1925,Allentown,Pennsylvania,USA,5/2/1948,9/25/1953,,,,,,,4/28/1996,Bethlehem,Pennsylvania,USA,R,R,11-May,190,Cedar Hill Memorial Park,Allentown,Pennsylvania,USA,,,,,NOT,1948
2244,buchr001,Buchter,Ryan J.,Ryan,2/13/1987,Reading,Pennsylvania,USA,6/20/2014,8/29/2020,,,,,,,,,,,L,L,3-Jun,240,,,,,,,,,NOT,2014
2245,bucht001,Buchholz,Taylor,Taylor,10/13/1981,Lower Merion,Pennsylvania,USA,4/7/2006,5/29/2011,,,,,,,,,,,R,R,4-Jun,220,,,,,,,,,NOT,2006
2246,buckb001,Buckner,William Joseph,Bill,12/14/1949,Vallejo,California,USA,9/21/1969,5/30/1990,,,35155,35658,,,5/27/2019,Boise,Idaho,USA,L,L,Jun-00,185,,,,,,,,,NOT,1969
2247,buckb002,Buckner,William Jennings,Billy,8/27/1983,Decatur,Georgia,USA,8/25/2007,5/24/2014,,,,,,,,,,,R,R,2-Jun,215,,,,,,,,,NOT,2007
2248,buckd101,Buckley,Richard D.,Dick,09/21/1858,Troy,New York,USA,04/20/1888,09/28/1895,,,,,,,12/12/1929,Pittsburgh,Pennsylvania,USA,R,R,10-May,195,Christ Our Redeemer Catholic Cemetery,Pittsburgh,Pennsylvania,USA,,,,,NOT,1888
2249,bucke101,Buckingham,Frederick Bristol,Fred,02/13/1876,Blenheim,New York,USA,08/30/1895,08/30/1895,,,,,,,12/3/1948,Washington,D.C.,USA,,,,,Fort Lincoln Cemetery,Brentwood,Maryland,USA,,,,,NOT,1895
2250,buckg001,Buckels,Gary Scott,Gary,7/22/1965,La Mirada,California,USA,7/23/1994,8/10/1994,,,,,,,,,,,R,R,Jun-00,185,,,,,,,,,NOT,1994
2251,buckg101,Buckeye,Garland Maires,Garland,10/16/1897,Heron Lake,Minnesota,USA,6/19/1918,7/12/1928,,,,,,,11/14/1975,"Sand Lake, Sawyer County",Wisconsin,USA,B,L,Jun-00,260,Ottawa Hills Memorial Park,Toledo,Ohio,USA,,,,,NOT,1918
2252,buckj001,Buck,Johnathan Richard,John,7/7/1980,Kemmerer,Wyoming,USA,6/25/2004,9/28/2014,,,,,,,,,,,R,R,3-Jun,210,,,,,,,,,NOT,2004
2253,buckj101,Buckley,John Edward,John,03/20/1870,Marlborough,Massachusetts,USA,07/15/1890,07/25/1890,,,,,,,3/3/1942,Westborough,Massachusetts,USA,L,R,1-Jun,200,Immaculate Conception Cemetery,Marlborough,Massachusetts,USA,,,,,NOT,1890
2254,buckj102,Buckles,Jesse Robert,Jess,05/20/1890,Lordsburg,California,USA,9/17/1916,10/3/1916,,,,,,,8/2/1975,Westminster,California,USA,L,L,6-02.5,205,Good Shepherd Cemetery,Huntington Beach,California,USA,,,,,NOT,1916
2255,buckk001,Buckley,Kevin John,Kevin,1/16/1959,Quincy,Massachusetts,USA,9/4/1984,9/25/1984,,,,,,,,,,,R,R,1-Jun,200,,,,,,,,,NOT,1984
2256,buckt001,Buck,Travis George,Travis,11/18/1983,Richland,Washington,USA,4/2/2007,5/28/2012,,,,,,,,,,,L,R,2-Jun,224,,,,,,,,,NOT,2007
2257,budam101,Budaska,Mark David,Mark,12/27/1952,Sharon,Pennsylvania,USA,6/6/1978,8/18/1981,,,43188,43689,,,,,,,B,L,Jun-00,180,,,,,,,,,NOT,1978
2258,buddd101,Buddin,Donald Thomas,Don,5/5/1934,Turbeville,South Carolina,USA,4/17/1956,9/25/1962,,,,,,,6/30/2011,Greenville,South Carolina,USA,R,R,11-May,178,Thomas Cemetery,Olanta,South Carolina,USA,,,,,NOT,1956
2259,buddm001,Buddie,Michael Joseph,Mike,12/12/1970,Berea,Ohio,USA,4/6/1998,5/26/2002,,,,,,,,,,,R,R,3-Jun,210,,,,,,,,,NOT,1998
2260,buddr001,Budde,Ryan Dean,Ryan,8/15/1979,Midwest City,Oklahoma,USA,7/31/2007,5/12/2010,,,,,,,,,,,R,R,11-May,205,,,,,,,,,NOT,2007
2261,buddu101,Budd,Jay Cook,Jay,12/04/1865,Groton,Ohio,USA,09/10/1890,09/10/1890,,,,,,,8/22/1923,Cleveland,Ohio,USA,,,,,Ridgelawn Cemetery,Elyria,Ohio,USA,,,,,NOT,1890
2262,budnm101,Budnick,Michael Joe,Mike,9/15/1919,Astoria,Oregon,USA,4/18/1946,6/22/1947,,,,,,,12/2/1999,Seattle,Washington,USA,R,R,1-Jun,200,,,,,,,,,NOT,1946
2263,budzm001,Budzinski,Mark Joseph,Mark,8/26/1973,Baltimore,Maryland,USA,8/3/2003,8/8/2003,,,44287,44503,,,,,,,L,L,2-Jun,180,,,,,,,,,NOT,2003
2264,buecs001,Buechele,Steven Bernard,Steve,9/26/1961,Lancaster,California,USA,7/19/1985,7/29/1995,,,42100,43374,,,,,,,R,R,2-Jun,190,,,,,,,,,NOT,1985
2265,buehm001,Buehrle,Mark Alan,Mark,3/23/1979,St. Charles,Missouri,USA,7/16/2000,10/4/2015,,,,,,,,,,,L,L,2-Jun,195,,,,,,,,,NOT,2000
2266,buehw001,Buehler,Walker Anthony,Walker,7/28/1994,Lexington,Kentucky,USA,9/7/2017,10/23/2020,,,,,,,,,,,R,R,2-Jun,175,,,,,,,,,NOT,2017
2267,buelc101,Buelow,Charles John,Charlie,01/12/1877,Dubuque,Iowa,USA,6/1/1901,8/1/1901,,,,,7/6/1901,7/6/1901,5/4/1951,Dubuque,Iowa,USA,R,R,,,Linwood Cemetery,Dubuque,Iowa,USA,,,,,NOT,1901
2268,buelf101,Buelow,Frederick William Alexander,Fritz,02/13/1876,Berlin,,Germany,09/28/1899,7/13/1907,,,,,7/16/1906,7/16/1906,12/27/1933,Detroit,Michigan,USA,R,R,5-10.5,170,Woodlawn Cemetery,Detroit,Michigan,USA,,,,,NOT,1899
2269,buenf001,Bueno,Francisley Trueba,Francisley,3/5/1981,Havana,,Cuba,8/13/2008,9/24/2014,,,,,,,,,,,L,L,11-May,200,,,,,,,,,NOT,2008
2270,buenj001,Buente,Jay Phillip,Jay,9/28/1983,Evansville,Indiana,USA,5/27/2010,7/26/2011,,,,,,,,,,,R,R,2-Jun,185,,,,,,,,,NOT,2010
2271,buesa101,Bues,Arthur Frederick,Art,03/03/1888,Milwaukee,Wisconsin,USA,4/17/1913,10/4/1914,,,,,,,11/7/1954,Whitefish Bay,Wisconsin,USA,R,R,11-May,184,Union Cemetery,Milwaukee,Wisconsin,USA,,,,,NOT,1913
2272,buffc101,Buffinton,Charles G.,Charlie,06/14/1861,Fall River,Massachusetts,USA,05/17/1882,06/28/1892,05/14/1890,10/04/1890,,,05/07/1883,05/24/1892,9/23/1907,Fall River,Massachusetts,USA,R,R,1-Jun,180,Oak Grove Cemetery,Fall River,Massachusetts,USA,"Lot 3257, Pachidndron Path",,,,NOT,1882
2273,bufod001,Buford,Damon Jackson,Damon,6/12/1970,Baltimore,Maryland,USA,5/4/1993,5/15/2001,,,,,,,,,,,R,R,10-May,170,,,,,,,,,NOT,1993
2274,bufod101,Buford,Don Alvin,Don,2/2/1937,Linden,Texas,USA,9/14/1963,10/3/1972,,,29685,38627,,,,,,,B,R,7-May,160,,,,,,,,,NOT,1963
2275,buhlb101,Buhl,Robert Ray,Bob,8/12/1928,Saginaw,Michigan,USA,4/17/1953,4/30/1967,,,,,,,2/16/2001,Titusville,Florida,USA,R,R,2-Jun,180,Cremated,,,,Ashes retained by family,,,,NOT,1953
2276,buhnj001,Buhner,Jay Campbell,Jay,8/13/1964,Louisville,Kentucky,USA,9/11/1987,10/22/2001,,,,,,,,,,,R,R,3-Jun,205,,,,,,,,,NOT,1987
2277,buicd001,Buice,DeWayne Allison,DeWayne,8/20/1957,Lynwood,California,USA,4/25/1987,6/27/1989,,,,,,,,,,,R,R,Jun-00,170,,,,,,,,,NOT,1987
2278,bukec101,Buker,Cyril Owen,Cy,2/5/1918,Greenwood,Wisconsin,USA,5/17/1945,9/23/1945,,,,,,,10/11/2011,Greenwood,Wisconsin,USA,L,R,11-May,190,Greenwood City Cemetery,Greenwood,Wisconsin,USA,,,,,NOT,1945
2279,bukeh101,Buker,Henry Leslie,Henry,1859,Portland,Maine,USA,06/11/1884,08/04/1884,,,,,,,08/10/1899,Chicago,Illinois,USA,,,,140,Rosehill Cemetery,Chicago,Illinois,USA,,,,,NOT,1884
2280,bukvr001,Bukvich,Ryan Adrien,Ryan,5/13/1978,Naperville,Illinois,USA,7/12/2002,7/4/2008,,,,,,,,,,,R,R,2-Jun,250,,,,,,,,,NOT,2002
2281,bulgj001,Bulger,Jason Patrick,Jason,12/6/1978,Lawrenceville,Georgia,USA,8/26/2005,4/23/2011,,,,,,,,,,,R,R,4-Jun,215,,,,,,,,,NOT,2005
2282,bullb001,Bullington,Bryan Paul,Bryan,9/30/1980,Indianapolis,Indiana,USA,9/18/2005,9/25/2010,,,,,,,,,,,R,R,4-Jun,220,,,,,,,,,NOT,2005
2283,bullb101,Bulling,Terry Charles,Bud,12/15/1952,Lynwood,California,USA,7/3/1977,4/14/1983,,,,,,,3/8/2014,Salem,Oregon,USA,R,R,1-Jun,200,,,,,,,,,NOT,1977
2284,bulle001,Bullock,Eric Gerald,Eric,2/16/1960,Los Angeles,California,USA,8/26/1985,4/30/1992,,,,,,,,,,,L,L,11-May,185,,,,,,,,,NOT,1985
2285,bullg101,Bullard,George Donald,George,10/24/1928,Lynn,Massachusetts,USA,9/17/1954,9/25/1954,,,,,,,12/23/2002,Peabody,Massachusetts,USA,R,R,5-09.5,165,Puritan Lawn Memorial Park,Peabody,Massachusetts,USA,,,,,NOT,1954
2286,bullj001,Bullinger,James Eric,Jim,8/21/1965,New Orleans,Louisiana,USA,5/27/1992,4/7/1998,,,,,,,,,,,R,R,2-Jun,185,,,,,,,,,NOT,1992
2287,bullk001,Bullinger,Kirk Matthew,Kirk,10/28/1969,New Orleans,Louisiana,USA,8/30/1998,9/6/2004,,,,,,,,,,,R,R,2-Jun,170,,,,,,,,,NOT,1998
2288,bullr101,Bullock,Malton Joseph,Red,10/12/1911,Biloxi,Mississippi,USA,5/19/1936,9/6/1936,,,,,,,6/27/1988,Pascagoula,Mississippi,USA,L,L,1-Jun,192,Griffin Cemetery,Moss Point,Mississippi,USA,,,,,NOT,1936
2289,bulls001,Bullett,Scott Douglas,Scott,12/25/1968,Martinsburg,West Virginia,USA,9/3/1991,9/29/1996,,,,,,,,,,,L,L,2-Jun,200,,,,,,,,,NOT,1991
2290,bulls101,Bullas,Simeon Edward,Sim,01/11/1863,,,England,05/02/1884,06/23/1884,,,,,,,1/14/1908,Cleveland,Ohio,USA,R,R,5-07.5,150,Woodland Cemetery,Cleveland,Ohio,USA,,,,,NOT,1884
2291,bumba001,Bumbry,Alonza Benjamin,Al,4/21/1947,Fredericksburg,Virginia,USA,9/5/1972,10/5/1985,,,32237,37528,,,,,,,L,R,8-May,170,,,,,,Alonza Benjamin Bumbrey,,,NOT,1972
2292,bumgm001,Bumgarner,Madison Kyle,Madison,8/1/1989,Hickory,North Carolina,USA,9/8/2009,9/27/2020,,,,,,,,,,,R,L,4-Jun,215,,,,,,,,,NOT,2009
2293,bumma001,Bummer,Aaron James,Aaron,9/21/1993,Valencia,California,USA,7/27/2017,10/1/2020,,,,,,,,,,,L,L,3-Jun,200,,,,,,,,,NOT,2017
2294,bumpn001,Bump,Nathan Louis,Nate,7/24/1976,Towanda,Pennsylvania,USA,6/28/2003,7/16/2005,,,,,,,,,,,L,R,2-Jun,180,,,,,,,,,NOT,2003
2295,buncj101,Bunce,Joshua,Josh,05/10/1847,Brooklyn,New York,USA,08/27/1877,08/27/1877,,,,,04/30/1877,09/22/1877,4/28/1912,Brooklyn,New York,USA,,,,,Green-Wood Cemetery,Brooklyn,New York,USA,,,,,NOT,1877
2296,buncm001,Bunch,Melvin Lynn,Melvin,11/4/1971,Texarkana,Texas,USA,5/6/1995,6/25/1999,,,,,,,,,,,R,R,1-Jun,165,,,,,,,,,NOT,1995
