Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1980,CIN,Dick Wagner,---,"","",89,73,0.549,3,dnq
1979,CIN,Dick Wagner,---,"","",90,71,0.559,1,Lost NLCS (Pirates)
1978,CIN,Bob Howsam,---,"","",92,69,0.571,2,dnq
1977,CIN,Bob Howsam,---,"","",88,74,0.543,2,dnq
1976,CIN,Bob Howsam,---,"","",102,60,0.63,1,Won World Series (Yankees)
1975,CIN,Bob Howsam,---,"","",108,54,0.667,1,Won World Series (Red Sox)
1974,CIN,Bob Howsam,---,"","",98,64,0.605,2,dnq
1973,CIN,Bob Howsam,---,"","",99,63,0.611,1,Lost NLCS (Mets)
1972,CIN,Bob Howsam,---,"","",95,59,0.617,1,Lost World Series (Athletics)
1971,CIN,Bob Howsam,---,"","",79,83,0.488,5,dnq
1970,CIN,Bob Howsam,---,"","",102,60,0.63,1,Lost World Series (Orioles)
1969,CIN,Bob Howsam,---,"","",89,73,0.549,3,dnq
1968,CIN,Bob Howsam,---,"","",83,79,0.512,4,dnq
1967,CIN,Bob Howsam,---,"","",87,75,0.537,4,dnq
1966,CIN,Bill DeWitt,---,"","",76,84,0.475,7,dnq
1965,CIN,Bill DeWitt,---,"","",89,73,0.549,4,dnq
1964,CIN,Bill DeWitt,---,"","",92,70,0.568,3,dnq
1963,CIN,Bill DeWitt,---,"","",86,76,0.531,5,dnq
1962,CIN,Bill DeWitt,---,"","",98,64,0.605,3,dnq
1961,CIN,Bill DeWitt,---,"","",93,61,0.604,1,Lost World Series (Yankees)
1960,CIN,Gabe Paul,---,"","",67,87,0.435,6,dnq
1959,CIN,Gabe Paul,---,"","",74,80,0.481,5,dnq
1958,CIN,Gabe Paul,---,"","",76,78,0.494,4,dnq
1957,CIN,Gabe Paul,---,"","",80,74,0.519,4,dnq
1956,CIN,Gabe Paul,---,"","",91,63,0.591,3,dnq
1955,CIN,Gabe Paul,---,"","",75,79,0.487,5,dnq
1954,CIN,Gabe Paul,---,"","",74,80,0.481,5,dnq
1953,CIN,Gabe Paul,---,"","",68,86,0.442,6,dnq
1952,CIN,Gabe Paul,---,"","",69,85,0.448,6,dnq
1951,CIN,Warren Giles,---,"","",68,86,0.442,6,dnq
1950,CIN,Warren Giles,---,"","",66,87,0.431,6,dnq
2021,CLE,Mike Chernoff,NCAA,"",2000-2003,0,0,---,2,---
2020,CLE,Mike Chernoff,NCAA,"",2000-2003,35,25,0.583,2,Lost in Wild Card Series (Yankees)
2019,CLE,Mike Chernoff,NCAA,"",2000-2003,93,69,0.574,2,dnq
2018,CLE,Mike Chernoff,NCAA,"",2000-2003,91,71,0.562,1,Lost in 1st Round (Astros)
2017,CLE,Mike Chernoff,NCAA,"",2000-2003,102,60,0.63,1,Lost in 1st Round (Yankees)
2016,CLE,Mike Chernoff,NCAA,"",2000-2003,94,67,0.584,1,Lost World Series (Cubs)
2015,CLE,Chris Antonetti,---,"","",81,80,0.503,3,dnq
2014,CLE,Chris Antonetti,---,"","",85,77,0.525,3,dnq
2013,CLE,Chris Antonetti,---,"","",92,70,0.568,2,Lost AL Wild-Card Game (Rays)
2012,CLE,Chris Antonetti,---,"","",68,94,0.42,4,dnq
2011,CLE,Chris Antonetti,---,"","",80,82,0.494,2,dnq
2010,CLE,Mark Shapiro,---,"","",69,93,0.426,4,dnq
2009,CLE,Mark Shapiro,---,"","",65,97,0.401,4,dnq
2008,CLE,Mark Shapiro,---,"","",81,81,0.5,3,dnq
2007,CLE,Mark Shapiro,---,"","",96,66,0.593,1,Lost in ALCS (Boston)
2006,CLE,Mark Shapiro,---,"","",78,84,0.481,4,dnq
2005,CLE,Mark Shapiro,---,"","",93,69,0.574,2,dnq
2004,CLE,Mark Shapiro,---,"","",80,82,0.494,3,dnq
2003,CLE,Mark Shapiro,---,"","",68,94,0.42,4,dnq
2002,CLE,Mark Shapiro,---,"","",74,88,0.457,3,dnq
2001,CLE,John Hart,---,"","",91,71,0.562,1,Lost in 1st Round (Mariners)
2000,CLE,John Hart,---,"","",90,72,0.556,2,dnq
1999,CLE,John Hart,---,"","",97,65,0.599,1,Lost in 1st Round (Red Sox)
1998,CLE,John Hart,---,"","",89,73,0.549,1,Lost ALCS (Yankees)
1997,CLE,John Hart,---,"","",86,75,0.534,1,Lost World Series (Marlins)
1996,CLE,John Hart,---,"","",99,62,0.615,1,Lost in 1st Round (Orioles)
1995,CLE,John Hart,---,"","",100,44,0.694,1,Lost World Series (Braves)
1994,CLE,John Hart,---,"","",66,47,0.584,2,dnq
1993,CLE,John Hart,---,"","",76,86,0.469,6,dnq
1992,CLE,John Hart,---,"","",76,86,0.469,5,dnq
1991,CLE,John Hart,---,"","",57,105,0.352,7,dnq
1990,CLE,Hank Peters,---,"","",77,85,0.475,4,dnq
1989,CLE,Hank Peters,---,"","",73,89,0.451,6,dnq
1988,CLE,Hank Peters,---,"","",78,84,0.481,6,dnq
1987,CLE,Joe Klein,---,"","",61,101,0.377,7,dnq
1986,CLE,Joe Klein,---,"","",84,78,0.519,5,dnq
1985,CLE,Phil Seghi,---,"","",60,102,0.37,7,dnq
1984,CLE,Phil Seghi,---,"","",75,87,0.463,6,dnq
1983,CLE,Phil Seghi,---,"","",70,92,0.432,7,dnq
1982,CLE,Phil Seghi,---,"","",78,84,0.481,7,dnq
1981,CLE,Phil Seghi,---,"","",52,51,0.505,0,dnq
1980,CLE,Phil Seghi,---,"","",79,81,0.494,6,dnq
1979,CLE,Phil Seghi,---,"","",81,80,0.503,6,dnq
1978,CLE,Phil Seghi,---,"","",69,90,0.434,6,dnq
1977,CLE,Phil Seghi,---,"","",71,90,0.441,5,dnq
1976,CLE,Phil Seghi,---,"","",81,78,0.509,4,dnq
1975,CLE,Phil Seghi,---,"","",79,80,0.497,4,dnq
1974,CLE,Phil Seghi,---,"","",77,85,0.475,4,dnq
1973,CLE,Phil Seghi,---,"","",71,91,0.438,6,dnq
1972,CLE,Gabe Paul,---,"","",72,84,0.462,5,dnq
1971,CLE,Alvin Dark,MLB,1946-1960,1946-1960,60,102,0.37,6,dnq
1970,CLE,Alvin Dark,MLB,1946-1960,1946-1960,76,86,0.469,5,dnq
1969,CLE,Gabe Paul,---,"","",62,99,0.385,6,dnq
1968,CLE,Gabe Paul,---,"","",86,75,0.534,3,dnq
1967,CLE,Gabe Paul,---,"","",75,87,0.463,8,dnq
1966,CLE,Gabe Paul,---,"","",81,81,0.5,5,dnq
1965,CLE,Gabe Paul,---,"","",87,75,0.537,5,dnq
1964,CLE,Gabe Paul,---,"","",79,83,0.488,7,dnq
1963,CLE,Gabe Paul,---,"","",79,83,0.488,6,dnq
1962,CLE,Gabe Paul,---,"","",80,82,0.494,6,dnq
1960,CLE,Frank Lane,---,"","",76,78,0.494,4,dnq
1959,CLE,Frank Lane,---,"","",89,65,0.578,2,dnq
1958,CLE,Frank Lane,---,"","",77,76,0.503,4,dnq
1957,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,76,77,0.497,6,dnq
1956,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,88,66,0.571,2,dnq
1955,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,93,61,0.604,2,dnq
1954,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,111,43,0.721,1,Lost World Series (Giants)
1953,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,92,62,0.597,2,dnq
1952,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,93,61,0.604,2,dnq
1951,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,93,61,0.604,2,dnq
1950,CLE,Hank Greenberg,MLB,1930-1947,1930-1947,92,62,0.597,4,dnq
2021,COL,Jeff Bridich,---,"","",0,0,---,4,---
2020,COL,Jeff Bridich,---,"","",26,34,0.433,4,dnq
2019,COL,Jeff Bridich,---,"","",71,91,0.438,4,dnq
2018,COL,Jeff Bridich,---,"","",91,72,0.558,2,Lost in 1st Round (Brewers)
2017,COL,Jeff Bridich,---,"","",87,75,0.537,3,Lost NL Wild-Card Game (Diamondbacks)
2016,COL,Jeff Bridich,---,"","",75,87,0.463,3,dnq
2015,COL,Jeff Bridich,---,"","",68,94,0.42,5,dnq
2014,COL,Daniel O'Dowd,---,"","",66,96,0.407,4,dnq
2013,COL,Daniel O'Dowd,---,"","",74,88,0.457,5,dnq
2012,COL,Daniel O'Dowd,---,"","",64,98,0.395,5,dnq
2011,COL,Daniel O'Dowd,---,"","",73,89,0.451,4,dnq
2010,COL,Daniel O'Dowd,---,"","",83,79,0.512,3,dnq
2009,COL,Daniel O'Dowd,---,"","",92,70,0.568,2,Lost in NLDS (Philadelphia)
2008,COL,Daniel O'Dowd,---,"","",74,88,0.457,3,dnq
2007,COL,Daniel O'Dowd,---,"","",90,73,0.552,2,Lost World Series (Boston)
2006,COL,Daniel O'Dowd,---,"","",76,86,0.469,5,dnq
2005,COL,Daniel O'Dowd,---,"","",67,95,0.414,5,dnq
2004,COL,Daniel O'Dowd,---,"","",68,94,0.42,4,dnq
2003,COL,Daniel O'Dowd,---,"","",74,88,0.457,4,dnq
2002,COL,Daniel O'Dowd,---,"","",73,89,0.451,4,dnq
2001,COL,Daniel O'Dowd,---,"","",73,89,0.451,5,dnq
2000,COL,Daniel O'Dowd,---,"","",82,80,0.506,4,dnq
1999,COL,Bob Gebhard,MLB,1971-1974,1971-1974,72,90,0.444,5,dnq
1998,COL,Bob Gebhard,MLB,1971-1974,1971-1974,77,85,0.475,4,dnq
1997,COL,Bob Gebhard,MLB,1971-1974,1971-1974,83,79,0.512,3,dnq
1996,COL,Bob Gebhard,MLB,1971-1974,1971-1974,83,79,0.512,3,dnq
1995,COL,Bob Gebhard,MLB,1971-1974,1971-1974,77,67,0.535,2,Lost in 1st Round (Braves)
1994,COL,Bob Gebhard,MLB,1971-1974,1971-1974,53,64,0.453,3,dnq
1993,COL,Bob Gebhard,MLB,1971-1974,1971-1974,67,95,0.414,6,dnq
2021,DET,Alberto Avila,Rk,"",1977-1977,0,0,---,5,---
2020,DET,Alberto Avila,Rk,"",1977-1977,23,35,0.397,5,dnq
2019,DET,Alberto Avila,Rk,"",1977-1977,47,114,0.292,5,dnq
2018,DET,Alberto Avila,Rk,"",1977-1977,64,98,0.395,3,dnq
2017,DET,Alberto Avila,Rk,"",1977-1977,64,98,0.395,5,dnq
2016,DET,Alberto Avila,Rk,"",1977-1977,86,75,0.534,2,dnq
2015,DET,Dave Dombrowski,---,"","",74,87,0.46,5,dnq
2014,DET,Dave Dombrowski,---,"","",90,72,0.556,1,Lost in 1st Round (Orioles)
2013,DET,Dave Dombrowski,---,"","",93,69,0.574,1,Lost in ALCS (Red Sox)
2012,DET,Dave Dombrowski,---,"","",88,74,0.543,1,Lost World Series (Giants)
2011,DET,Dave Dombrowski,---,"","",95,67,0.586,1,Lost in ALCS (Rangers)
2010,DET,Dave Dombrowski,---,"","",81,81,0.5,3,dnq
2009,DET,Dave Dombrowski,---,"","",86,77,0.528,2,dnq
2008,DET,Dave Dombrowski,---,"","",74,88,0.457,5,dnq
2007,DET,Dave Dombrowski,---,"","",88,74,0.543,2,dnq
2006,DET,Dave Dombrowski,---,"","",95,67,0.586,2,Lost World Series (Cardinals)
2005,DET,Dave Dombrowski,---,"","",71,91,0.438,4,dnq
2004,DET,Dave Dombrowski,---,"","",72,90,0.444,4,dnq
2003,DET,Dave Dombrowski,---,"","",43,119,0.265,5,dnq
2002,DET,Randy Smith,---,"","",55,106,0.342,5,dnq
2001,DET,Randy Smith,---,"","",66,96,0.407,4,dnq
2000,DET,Randy Smith,---,"","",79,83,0.488,3,dnq
1999,DET,Randy Smith,---,"","",69,92,0.429,3,dnq
1998,DET,Randy Smith,---,"","",65,97,0.401,5,dnq
1997,DET,Randy Smith,---,"","",79,83,0.488,3,dnq
1996,DET,Randy Smith,---,"","",53,109,0.327,5,dnq
1995,DET,Joe Klein,---,"","",60,84,0.417,4,dnq
1994,DET,Joe Klein,---,"","",53,62,0.461,5,dnq
1993,DET,Jerry Walker,MLB,1957-1964,1957-1964,85,77,0.525,4,dnq
1992,DET,Joe McDonald,---,"","",75,87,0.463,6,dnq
1991,DET,Joe McDonald,---,"","",84,78,0.519,2,dnq
1990,DET,Bill Lajoie,---,"","",79,83,0.488,3,dnq
1989,DET,Bill Lajoie,---,"","",59,103,0.364,7,dnq
1988,DET,Bill Lajoie,---,"","",88,74,0.543,2,dnq
1987,DET,Bill Lajoie,---,"","",98,64,0.605,1,Lost ALCS (Twins)
1986,DET,Bill Lajoie,---,"","",87,75,0.537,3,dnq
1985,DET,Bill Lajoie,---,"","",84,77,0.522,3,dnq
1984,DET,Bill Lajoie,---,"","",104,58,0.642,1,Won World Series (Padres)
1983,DET,Jim Campbell,---,"","",92,70,0.568,2,dnq
1982,DET,Jim Campbell,---,"","",83,79,0.512,4,dnq
1981,DET,Jim Campbell,---,"","",60,49,0.55,0,dnq
1980,DET,Jim Campbell,---,"","",84,78,0.519,5,dnq
1979,DET,Jim Campbell,---,"","",85,76,0.528,5,dnq
1978,DET,Jim Campbell,---,"","",86,76,0.531,5,dnq
1977,DET,Jim Campbell,---,"","",74,88,0.457,4,dnq
1976,DET,Jim Campbell,---,"","",74,87,0.46,5,dnq
1975,DET,Jim Campbell,---,"","",57,102,0.358,6,dnq
1974,DET,Jim Campbell,---,"","",72,90,0.444,6,dnq
1973,DET,Jim Campbell,---,"","",85,77,0.525,3,dnq
1972,DET,Jim Campbell,---,"","",86,70,0.551,1,Lost ALCS (Athletics)
1971,DET,Jim Campbell,---,"","",91,71,0.562,2,dnq
1970,DET,Jim Campbell,---,"","",79,83,0.488,4,dnq
1969,DET,Jim Campbell,---,"","",90,72,0.556,2,dnq
1968,DET,Jim Campbell,---,"","",103,59,0.636,1,Won World Series (Cardinals)
1967,DET,Jim Campbell,---,"","",91,71,0.562,3,dnq
1966,DET,Jim Campbell,---,"","",88,74,0.543,3,dnq
1965,DET,Jim Campbell,---,"","",89,73,0.549,4,dnq
1964,DET,Jim Campbell,---,"","",85,77,0.525,4,dnq
1963,DET,Jim Campbell,---,"","",79,83,0.488,5,dnq
1962,DET,Rick Ferrell,MLB,1929-1947,1929-1947,85,76,0.528,4,dnq
1961,DET,Rick Ferrell,MLB,1929-1947,1929-1947,101,61,0.623,2,dnq
1960,DET,Rick Ferrell,MLB,1929-1947,1929-1947,71,83,0.461,6,dnq
1959,DET,Rick Ferrell,MLB,1929-1947,1929-1947,76,78,0.494,4,dnq
1958,DET,John McHale,MLB,1943-1948,1943-1948,77,77,0.5,5,dnq
1957,DET,John McHale,MLB,1943-1948,1943-1948,78,76,0.506,4,dnq
1957,DET,Walter Briggs,---,"","",78,76,0.506,4,dnq
1956,DET,Muddy Ruel,MLB,1915-1934,1915-1934,82,72,0.532,5,dnq
1955,DET,Muddy Ruel,MLB,1915-1934,1915-1934,79,75,0.513,5,dnq
1954,DET,Muddy Ruel,MLB,1915-1934,1915-1934,68,86,0.442,5,dnq
1953,DET,Charlie Gehringer,MLB,1924-1942,1924-1942,60,94,0.39,6,dnq
1952,DET,Charlie Gehringer,MLB,1924-1942,1924-1942,50,104,0.325,8,dnq
1951,DET,Billy Evans,---,"","",73,81,0.474,5,dnq
1950,DET,Billy Evans,---,"","",95,59,0.617,2,dnq
2021,HOU,James Click,---,"","",0,0,---,2,---
2020,HOU,James Click,---,"","",29,31,0.483,2,Lost in ALCS (Rays)
2019,HOU,Jeff Luhnow,---,"","",107,55,0.66,1,Lost World Series (Nationals)
2018,HOU,Jeff Luhnow,---,"","",103,59,0.636,1,Lost in ALCS (Red Sox)
2017,HOU,Jeff Luhnow,---,"","",101,61,0.623,1,Won World Series (Dodgers)
2016,HOU,Jeff Luhnow,---,"","",84,78,0.519,3,dnq
2015,HOU,Jeff Luhnow,---,"","",86,76,0.531,2,Lost in 1st Round (Royals)
2014,HOU,Jeff Luhnow,---,"","",70,92,0.432,4,dnq
2013,HOU,Jeff Luhnow,---,"","",51,111,0.315,5,dnq
2012,HOU,Jeff Luhnow,---,"","",55,107,0.34,6,dnq
2011,HOU,Ed Wade,---,"","",56,106,0.346,6,dnq
2010,HOU,Ed Wade,---,"","",76,86,0.469,4,dnq
2009,HOU,Ed Wade,---,"","",74,88,0.457,5,dnq
2008,HOU,Ed Wade,---,"","",86,75,0.534,3,dnq
2007,HOU,Ed Wade,---,"","",73,89,0.451,4,dnq
2006,HOU,Tim Purpura,---,"","",82,80,0.506,2,dnq
2005,HOU,Tim Purpura,---,"","",89,73,0.549,2,Lost World Series (White Sox)
2004,HOU,Gerry Hunsicker,---,"","",92,70,0.568,2,Lost NLCS (Cardinals)
2003,HOU,Gerry Hunsicker,---,"","",87,75,0.537,2,dnq
2002,HOU,Gerry Hunsicker,---,"","",84,78,0.519,2,dnq
2001,HOU,Gerry Hunsicker,---,"","",93,69,0.574,1,Lost in 1st Round (Braves)
2000,HOU,Gerry Hunsicker,---,"","",72,90,0.444,4,dnq
1999,HOU,Gerry Hunsicker,---,"","",97,65,0.599,1,Lost in 1st Round (Braves)
1998,HOU,Gerry Hunsicker,---,"","",102,60,0.63,1,Lost in 1st Round (Padres)
1997,HOU,Gerry Hunsicker,---,"","",84,78,0.519,1,Lost in 1st Round (Braves)
1996,HOU,Gerry Hunsicker,---,"","",82,80,0.506,2,dnq
1995,HOU,Bob Watson,MLB,1966-1984,1966-1984,76,68,0.528,2,dnq
1994,HOU,Bob Watson,MLB,1966-1984,1966-1984,66,49,0.574,2,dnq
1993,HOU,Bill Wood,---,"","",85,77,0.525,3,dnq
1992,HOU,Bill Wood,---,"","",81,81,0.5,4,dnq
1991,HOU,Bill Wood,---,"","",65,97,0.401,6,dnq
1990,HOU,Bill Wood,---,"","",75,87,0.463,5,dnq
1989,HOU,Bill Wood,---,"","",86,76,0.531,3,dnq
1988,HOU,Bill Wood,---,"","",82,80,0.506,5,dnq
1987,HOU,Dick Wagner,---,"","",76,86,0.469,3,dnq
1986,HOU,Dick Wagner,---,"","",96,66,0.593,1,Lost NLCS (Mets)
1985,HOU,Al Rosen,MLB,1947-1956,1947-1956,83,79,0.512,4,dnq
1984,HOU,Al Rosen,MLB,1947-1956,1947-1956,80,82,0.494,2,dnq
1983,HOU,Al Rosen,MLB,1947-1956,1947-1956,85,77,0.525,3,dnq
1982,HOU,Al Rosen,MLB,1947-1956,1947-1956,77,85,0.475,5,dnq
1981,HOU,Al Rosen,MLB,1947-1956,1947-1956,61,49,0.555,0,Lost in 1st Round (Dodgers)
1980,HOU,Tal Smith,---,"","",93,70,0.571,1,Lost NLCS (Phillies)
1979,HOU,Tal Smith,---,"","",89,73,0.549,2,dnq
1978,HOU,Tal Smith,---,"","",74,88,0.457,5,dnq
1977,HOU,Tal Smith,---,"","",81,81,0.5,3,dnq
1976,HOU,Tal Smith,---,"","",80,82,0.494,3,dnq
1975,HOU,Spec Richardson,---,"","",64,97,0.398,6,dnq
1974,HOU,Spec Richardson,---,"","",81,81,0.5,4,dnq
1973,HOU,Spec Richardson,---,"","",82,80,0.506,4,dnq
1972,HOU,Spec Richardson,---,"","",84,69,0.549,2,dnq
1971,HOU,Spec Richardson,---,"","",79,83,0.488,4,dnq
1970,HOU,Spec Richardson,---,"","",79,83,0.488,4,dnq
1969,HOU,Spec Richardson,---,"","",81,81,0.5,5,dnq
1968,HOU,Spec Richardson,---,"","",72,90,0.444,10,dnq
1967,HOU,Tal Smith,---,"","",69,93,0.426,9,dnq
1966,HOU,Tal Smith,---,"","",72,90,0.444,8,dnq
1965,HOU,Paul Richards,MLB,1932-1946,1932-1946,65,97,0.401,9,dnq
1964,HOU,Paul Richards,MLB,1932-1946,1932-1946,66,96,0.407,9,dnq
1963,HOU,Paul Richards,MLB,1932-1946,1932-1946,66,96,0.407,9,dnq
1962,HOU,Paul Richards,MLB,1932-1946,1932-1946,64,96,0.4,8,dnq
2021,KCR,Dayton Moore,---,"","",0,0,---,4,---
2020,KCR,Dayton Moore,---,"","",26,34,0.433,4,dnq
2019,KCR,Dayton Moore,---,"","",59,103,0.364,4,dnq
2018,KCR,Dayton Moore,---,"","",58,104,0.358,5,dnq
2017,KCR,Dayton Moore,---,"","",80,82,0.494,3,dnq
2016,KCR,Dayton Moore,---,"","",81,81,0.5,3,dnq
2015,KCR,Dayton Moore,---,"","",95,67,0.586,1,Won World Series (Mets)
2014,KCR,Dayton Moore,---,"","",89,73,0.549,2,Lost World Series (Giants)
2013,KCR,Dayton Moore,---,"","",86,76,0.531,3,dnq
2012,KCR,Dayton Moore,---,"","",72,90,0.444,3,dnq
2011,KCR,Dayton Moore,---,"","",71,91,0.438,4,dnq
2010,KCR,Dayton Moore,---,"","",67,95,0.414,5,dnq
2009,KCR,Dayton Moore,---,"","",65,97,0.401,5,dnq
2008,KCR,Dayton Moore,---,"","",75,87,0.463,4,dnq
2007,KCR,Dayton Moore,---,"","",69,93,0.426,5,dnq
2006,KCR,Allard Baird,---,"","",62,100,0.383,5,dnq
2006,KCR,Dayton Moore,---,"","",62,100,0.383,5,dnq
2005,KCR,Allard Baird,---,"","",56,106,0.346,5,dnq
2004,KCR,Allard Baird,---,"","",58,104,0.358,5,dnq
2003,KCR,Allard Baird,---,"","",83,79,0.512,3,dnq
2002,KCR,Allard Baird,---,"","",62,100,0.383,4,dnq
2001,KCR,Allard Baird,---,"","",65,97,0.401,5,dnq
2000,KCR,Herk Robinson,---,"","",77,85,0.475,4,dnq
2000,KCR,Allard Baird,---,"","",77,85,0.475,4,dnq
1999,KCR,Herk Robinson,---,"","",64,97,0.398,4,dnq
1998,KCR,Herk Robinson,---,"","",72,89,0.447,3,dnq
1997,KCR,Herk Robinson,---,"","",67,94,0.416,5,dnq
1996,KCR,Herk Robinson,---,"","",75,86,0.466,5,dnq
1995,KCR,Herk Robinson,---,"","",70,74,0.486,2,dnq
1994,KCR,Herk Robinson,---,"","",64,51,0.557,3,dnq
1993,KCR,Herk Robinson,---,"","",84,78,0.519,3,dnq
1992,KCR,Herk Robinson,---,"","",72,90,0.444,5,dnq
1991,KCR,Herk Robinson,---,"","",82,80,0.506,6,dnq
1990,KCR,John Schuerholz,---,"","",75,86,0.466,6,dnq
1989,KCR,John Schuerholz,---,"","",92,70,0.568,2,dnq
1988,KCR,John Schuerholz,---,"","",84,77,0.522,3,dnq
1987,KCR,John Schuerholz,---,"","",83,79,0.512,2,dnq
1986,KCR,John Schuerholz,---,"","",76,86,0.469,3,dnq
1985,KCR,John Schuerholz,---,"","",91,71,0.562,1,Won World Series (Cardinals)
1984,KCR,John Schuerholz,---,"","",84,78,0.519,1,Lost ALCS (Tigers)
1983,KCR,John Schuerholz,---,"","",79,83,0.488,2,dnq
1982,KCR,John Schuerholz,---,"","",90,72,0.556,2,dnq
1981,KCR,Joe Burke,---,"","",50,53,0.485,0,Lost in 1st Round (Athletics)
1980,KCR,Joe Burke,---,"","",97,65,0.599,1,Lost World Series (Phillies)
1979,KCR,Joe Burke,---,"","",85,77,0.525,2,dnq
1978,KCR,Joe Burke,---,"","",92,70,0.568,1,Lost ALCS (Yankees)
1977,KCR,Joe Burke,---,"","",102,60,0.63,1,Lost ALCS (Yankees)
1976,KCR,Joe Burke,---,"","",90,72,0.556,1,Lost ALCS (Yankees)
1975,KCR,Joe Burke,---,"","",91,71,0.562,2,dnq
1974,KCR,Cedric Tallis,---,"","",77,85,0.475,5,dnq
1973,KCR,Cedric Tallis,---,"","",88,74,0.543,2,dnq
1972,KCR,Cedric Tallis,---,"","",76,78,0.494,4,dnq
1971,KCR,Cedric Tallis,---,"","",85,76,0.528,2,dnq
1970,KCR,Cedric Tallis,---,"","",65,97,0.401,4,dnq
1969,KCR,Cedric Tallis,---,"","",69,93,0.426,4,dnq
2021,LAA,Perry Minasian,---,"","",0,0,---,4,---
2020,LAA,Billy Eppler,---,"","",26,34,0.433,4,dnq
2019,LAA,Billy Eppler,---,"","",72,90,0.444,4,dnq
2018,LAA,Billy Eppler,---,"","",80,82,0.494,4,dnq
2017,LAA,Billy Eppler,---,"","",80,82,0.494,2,dnq
2016,LAA,Billy Eppler,---,"","",74,88,0.457,4,dnq
2015,LAA,Jerry Dipoto,MLB,1993-2000,1988-2000,85,77,0.525,3,dnq
2014,LAA,Jerry Dipoto,MLB,1993-2000,1988-2000,98,64,0.605,1,Lost in 1st Round (Angels)
2013,LAA,Jerry Dipoto,MLB,1993-2000,1988-2000,78,84,0.481,3,dnq
2012,LAA,Jerry Dipoto,MLB,1993-2000,1988-2000,89,73,0.549,0,dnq
2011,LAA,Tony Reagins,---,"","",86,76,0.531,2,dnq
2010,LAA,Tony Reagins,---,"","",80,82,0.494,3,dnq
2009,LAA,Tony Reagins,---,"","",97,65,0.599,1,Lost in ALCS (NY Yankees)
2008,LAA,Tony Reagins,---,"","",100,62,0.617,1,Lost in ALDS (Boston)
2007,LAA,Bill Stoneman,MLB,1967-1974,1967-1974,94,68,0.58,1,Lost in ALDS (Boston)
2006,LAA,Bill Stoneman,MLB,1967-1974,1967-1974,89,73,0.549,2,dnq
2005,LAA,Bill Stoneman,MLB,1967-1974,1967-1974,95,67,0.586,1,Lost ALCS (White Sox)
2004,ANA,Bill Stoneman,MLB,1967-1974,1967-1974,92,70,0.568,1,Lost in 1st Round (Red Sox)
2003,ANA,Bill Stoneman,MLB,1967-1974,1967-1974,77,85,0.475,3,dnq
2002,ANA,Bill Stoneman,MLB,1967-1974,1967-1974,99,63,0.611,2,Won World Series (Giants)
2001,ANA,Bill Stoneman,MLB,1967-1974,1967-1974,75,87,0.463,3,dnq
2000,ANA,Bill Stoneman,MLB,1967-1974,1967-1974,82,80,0.506,3,dnq
1999,ANA,Bill Bavasi,---,"","",70,92,0.432,4,dnq
1998,ANA,Bill Bavasi,---,"","",85,77,0.525,2,dnq
1997,ANA,Bill Bavasi,---,"","",84,78,0.519,2,dnq
1996,CAL,Bill Bavasi,---,"","",70,91,0.435,4,dnq
1995,CAL,Bill Bavasi,---,"","",78,67,0.538,2,dnq
1994,CAL,Bill Bavasi,---,"","",47,68,0.409,4,dnq
1993,CAL,Dan O'Brien,---,"","",71,91,0.438,5,dnq
1992,CAL,Dan O'Brien,---,"","",72,90,0.444,6,dnq
1991,CAL,Mike Port,---,"","",81,81,0.5,7,dnq
1990,CAL,Mike Port,---,"","",80,82,0.494,4,dnq
1989,CAL,Mike Port,---,"","",91,71,0.562,3,dnq
1988,CAL,Mike Port,---,"","",75,87,0.463,4,dnq
1987,CAL,Mike Port,---,"","",75,87,0.463,7,dnq
1986,CAL,Mike Port,---,"","",92,70,0.568,1,Lost ALCS (Red Sox)
1985,CAL,Mike Port,---,"","",90,72,0.556,2,dnq
1984,CAL,Buzzie Bavasi,---,"","",81,81,0.5,2,dnq
1983,CAL,Buzzie Bavasi,---,"","",70,92,0.432,5,dnq
1982,CAL,Buzzie Bavasi,---,"","",93,69,0.574,1,Lost ALCS (Brewers)
1981,CAL,Buzzie Bavasi,---,"","",51,59,0.464,0,dnq
1980,CAL,Buzzie Bavasi,---,"","",65,95,0.406,6,dnq
1979,CAL,Buzzie Bavasi,---,"","",88,74,0.543,1,Lost ALCS (Orioles)
1978,CAL,Buzzie Bavasi,---,"","",87,75,0.537,3,dnq
1977,CAL,Harry Dalton,---,"","",74,88,0.457,5,dnq
1976,CAL,Harry Dalton,---,"","",76,86,0.469,5,dnq
1975,CAL,Harry Dalton,---,"","",72,89,0.447,6,dnq
1974,CAL,Harry Dalton,---,"","",68,94,0.42,6,dnq
1973,CAL,Harry Dalton,---,"","",79,83,0.488,4,dnq
1972,CAL,Harry Dalton,---,"","",75,80,0.484,5,dnq
1971,CAL,Dick Walsh,---,"","",76,86,0.469,4,dnq
1970,CAL,Dick Walsh,---,"","",86,76,0.531,3,dnq
